# Amal's vocabulary Doc (docs/data/words.json) - english | her arabizi | arabic | key
we drank | i7na shrebna | إحنا شربنا | i7na shrebna
we drew | i7na rasamna | إحنا رسمنا | i7na rasamna
we drove | i7na su2na | إحنا سقنا | i7na su2na
we exercised | i7na tmarranna | إحنا تمرنا | i7na tmarana
we explained | i7na shara7na | إحنا شرحنا | i7na shara7na
we felt | i7na 7assaina | إحنا حسينا | i7na 7asaina
we finished | i7na 5allasna | إحنا خلصنا | i7na 5alasna
we forgot | i7na nseena | إحنا نسينا | i7na nsIna
we fought | i7na 2atalna | إحنا قاتلنا | i7na 2atalna
we found | i7na la2aina | إحنا لقينا | i7na la2aina
we fried | i7na 2laina | إحنا قلينا | i7na 2laina
we gave | i7na 3ataina | إحنا عطينا | i7na 3ataina
we had | kaan 3inna | كان عندنا | kAn 3ina
we hated | i7na krehna | إحنا كرهنا | i7na krehna
we held | i7na masakna | إحنا مسكنا | i7na masakna
we hurried | i7na sta3jalna | إحنا استعجلنا | i7na sta3jalna
we hurt | i7na wajja3na | إحنا وجعنا | i7na waja3na
we invited | i7na 3azamna | إحنا عزمنا | i7na 3azamna
we knew | i7na 3refna | إحنا عرفنا | i7na 3refna
we laughed/smiled | i7na d7ekna | إحنا ضحكنا | i7na d7ekna
we left/let | i7na 5allaina | إحنا خلينا | i7na 5alaina
we lied | i7na kazzabna | إحنا كذبنا | i7na kazabna
we liked | i7na 7abbaina | إحنا حبينا | i7na 7abaina
we listened | i7na sme3na | إحنا سمعنا | i7na sme3na
we made someone bored | i7na zahha2na | إحنا زهقنا | i7na zaha2na
we made someone crazy | i7na jannanna | إحنا جننا | i7na janana
we made someone laugh | i7na da77akna | إحنا ضحكنا | i7na da7akna
we met up | i7na lta2ayna | إحنا التقينا | i7na lta2aina
we moved | i7na 7arrakna | إحنا حركنا | i7na 7arakna
we needed | i7na 7tajna | إحنا احتجنا | i7na 7tajna
we opened | i7na fata7na | إحنا فتحنا | i7na fata7na
we ordered | i7na 6alabna | إحنا طلبنا | i7na 6alabna
we organized | i7na rattabna | إحنا رتبنا | i7na ratabna
we paid attention | i7na ntabahna | إحنا انتبهنا | i7na ntabahna
we paid/pushed | i7na dafa3na | إحنا دفعنا | i7na dafa3na
we planned | i7na 5a66atna | إحنا خططنا | i7na 5a6atna
we played | i7na l3ebna | إحنا لعبنا | i7na l3ebna
we practiced | i7na tdarrabna | إحنا تدربنا | i7na tdarabna
we preferred | i7na faddalna | إحنا فضلنا | i7na fadalna
we prepared | i7na jahhazna | إحنا جهزنا | i7na jahazna
we put | i7na 7attaina | إحنا حطينا | i7na 7ataina
we ran | i7na rakadna | إحنا ركضنا | i7na rakadna
we rang/called | i7na rannaina | إحنا رنينا | i7na ranaina
we read | i7na qara2na | إحنا قرأنا | i7na 2ara2na
we relaxed | i7na rta7na | إحنا ارتحنا | i7na rta7na
we remembered | i7na tzakkarna | إحنا تذكرنا | i7na tzakarna
we said | i7na 2olna | إحنا قلنا | i7na 2olna
we sang | i7na 8annaina | إحنا غنينا | i7na 8anaina
we sat | i7na 2a3adna | إحنا قعدنا | i7na 2a3adna
we saw | i7na shufna | إحنا شفنا | i7na shufna
we scratched | i7na 7akkaina | إحنا حكينا | i7na 7akaina~scratch
we sent | i7na ba3atna | إحنا بعتنا | i7na ba3atna
we showed | i7na farjaina | إحنا فرجينا | i7na farjaina
we slept | i7na nemna | إحنا نمنا | i7na nemna
we smelled | i7na shammaina | إحنا شمينا | i7na shamaina
we sold | i7na be3na | إحنا بعنا | i7na be3na
we spent (time) | i7na 2addaina | إحنا قضينا | i7na 2adaina
we started | i7na ballashna | إحنا بلشنا | i7na balashna
we stayed/kept | i7na dallaina | إحنا ضلينا | i7na dalaina
we stopped | i7na wa22afna | إحنا وقفنا | i7na wa2afna
we studied | i7na darasna | إحنا درسنا | i7na darasna
we talked | i7na 7akaina | إحنا حكينا | i7na 7akaina
we taught | i7na 3allamna | إحنا علمنا | i7na 3alamna
we thought/assumed | i7na zannaina | إحنا ظنينا | i7na zanaina
we took | i7na a5adna | إحنا أخذنا | i7na a5adna
we translated | i7na tarjamna | إحنا ترجمنا | i7na tarjamna
we turned off | i7na 6afaina | إحنا طفينا | i7na 6afaina
we turned on | i7na dawaina | إحنا ضوينا | i7na dawaina
we understood | i7na fhemna | إحنا فهمنا | i7na fhemna
we undressed | i7na shala7na | إحنا شلحنا | i7na shala7na
we used | i7na sta3malna | إحنا استعملنا | i7na sta3malna
we waited | i7na stannaina | إحنا استنينا | i7na stanaina
we walked | i7na mashaina | إحنا مشينا | i7na mashaina
we wanted | kaan biddna | كان بدنا | kAn bidna
we washed | i7na 8assalna | إحنا غسلنا | i7na 8asalna
we washed dishes | i7na jalaina | إحنا جلينا | i7na jalaina
we watched | i7na 7derna | إحنا حضرنا | i7na 7derna
we went | i7na ru7na | إحنا رحنا | i7na ru7na
we went out/up | i7na 6le3na | إحنا طلعنا | i7na 6le3na
we were | i7na kunna | إحنا كنا | i7na kuna
we woke up | i7na s7eena | إحنا صحينا | i7na s7Ina
we wore | i7na lbesna | إحنا لبسنا | i7na lbesna
we worked | i7na shta8alna | إحنا اشتغلنا | i7na shta8alna
we worried | i7na 2le2na | إحنا قلقنا | i7na 2le2na
we wrote | i7na katabna | إحنا كتبنا | i7na katabna
weak skinny | d3eef | ضعيف | d3If
wear | Elbis | البس | albis
weather (more formal) | Ta2es | طقس | ta2es
weather / atmosphere / vibe | Jaww | جو | jaw
wednesday | Yoam el-arbi3a2 | يوم الأربعاء | yoam alarbi3a2
week (2 weeks/weeks) | Usboo3 | أسبوع (أسبوعين | usbU3
weird | 8areeb | غريب | 8arIb
welcome | Ahla u sahla | أهلاً و سهلاً | ahla u sahla
welcome back (thank god for your safety) | Al-7amdellah 3al-salaame | الحمد لله عالسلامة | al7amdelah 3al salAme
well known | ma3roof | معروف | ma3rUf
wet | Mablool | مبلول | mablUl
what do you do? (female) | shu betsawwi behayatek? | شو بتسوي بحياتك؟ | shu betsawi behayatek
what do you do? (male) | shu betsawwi behayatak? | شو بتسوي بحياتك؟ | shu betsawi behayatak
what do you mean? | Shu 2azdak | شو قصدك؟ | shu 2azdak
what do you study? (female) | shu btedrusi? | شو بتدرسي؟ | shu btedrusi
what do you study? (male) | shu btedrus? | شو بتدرس؟ | shu btedrus
what do you think about the picture? | Shu ra2yak bi-el-soora? | شو رأيك بالصورة؟ | shu ra2yak bi alsUra
what do you think? / how about we watch a show? | Shu ra2yak ne7dar musalsal? | شو رأيك نحضر مسلسل؟ | shu ra2yak ne7dar musalsal
what do you think? / what’s your opinion? / how about…? / what do you think about…? / what do you think about…? / what’s your take on…? | Shu ra2yak | شو رأيك؟ | shu ra2yak
what's the temperature? | 2addaish darjet el-7araara? | قديش درجة الحرارة؟ | 2adaish darjet al7arAra
what's the time? | 2addaish El-saa3a? | قديش الساعة؟ | 2adaish alsA3a
what's your name? (female) | shu esmek? | شو اسمك؟ | shu esmek
what's your name? (male) | shu esmak? | شو اسمك؟ | shu esmak
what? | shu | شو | shu
what’s wrong with you? | Shu maalak | شو مالك؟ | shu mAlak
what’s wrong? what’s there? | Shu fi? | شو في | shu fi
when (conditional) | Lamma | لما | lama
when? (question) | Aimta | امتى | aimta
where are you from? (female) | men wein enti? | من وين انتِ؟ | men wein enti
where are you from? (male) | men wein enta? | من وين إنت؟ | men wein enta
where do you live? (female) | wein saknah? | وين ساكنة؟ | wein saknah
where do you live? (male) | wein saken? | وين ساكن؟ | wein saken
white (m/f) | Abyad | أبيض | abyad
whole / complete | kaamel | كامل | kAmel
will | ra7 | رح | ra7
window | Shubbaak | شباك | shubAk
winter | El-shita (M) | شتا | el shita m
winter | Shita | شتا | shita
with | Ma3 | مع | ma3
without | bidoon | بدون | bidUn
woman / wife / woman | Mara | مرة | mara
word – words | Kelme | كلمة | kelme
work | Eshte8el | اشتغل | eshte8el
work | Shu8ul | شغل | shu8ul
worried | Qalqaan | قلقان | 2al2An
worry | E2la2 | اقلق | e2la2
worse | Aswa2 | أسوأ | aswa2
write | Ektub | اكتب | ektub
wrong (person) | 8al6aan | غلطان | 8al6An
wrong / mistake / wrong / incorrect | 8ala6 | غلط | 8ala6
ya'tik al'afyah response | Allah y'afik | الله يعافيك | alah i2afik
ya'tiki al'afyah response | Allah Y'afiki | الله يعافيكي | alah i2afiki
year (2 years/years) | Sane | سنة (سنتين | sane
yellow (m/f) | A9far | أصفر | a9far
yes | Eh | إيه | eh
yesterday | Mbaare7 | مبارح | mbAre7
you (f) answered/responded | inti raddaiti | إنتي رديتي | inti radaiti
you (f) asked | inti sa2alti | إنتي سألتي | inti sa2alti
you (f) ate | inti akalti | إنتي أكلتي | inti akalti
you (f) became | inti serti | إنتي صرتي | inti serti
you (f) became quiet | inti sakatti | إنتي سكتّي | inti sakati
you (f) began | inti badaiti | إنتي بديتي | inti badaiti
you (f) bought | inti shtaraiti | إنتي اشتريتي | inti shtaraiti
you (f) brought | inti jebti | إنتي جبتي | inti jebti
you (f) came | inti ajeeti | إنتي جيتي | inti ajIti
you (f) carried | inti 7amalti | إنتي حملتي | inti 7amalti
you (f) changed | inti 8ayyarti | إنتي غيرتي | inti 8aiyarti
you (f) cheated | inti 8ashshaiti | إنتي غشيتي | inti 8ashaiti
you (f) cleaned | inti naddafti | إنتي نظفتي | inti nadafti
you (f) closed | inti sakkerti | إنتي سكرتي | inti sakerti
you (f) complained | inti shakaiti | إنتي شكيتي | inti shakaiti
you (f) cooked | inti taba5ti | إنتي طبختي | inti taba5ti
you (f) could / was able to | inti 2derti | إنتي قدرتي | inti 2derti
you (f) cut | inti 2assaiti | إنتي قصيتي | inti 2asaiti
you (f) did/made | inti 3melti | إنتي عملتي | inti 3melti
you (f) drank | inti shrebti | إنتي شربتي | inti shrebti
you (f) drew | inti rasamti | إنتي رسمتي | inti rasamti
you (f) drove | inti su2ti | إنتي سقتي | inti su2ti
you (f) exercised | inti tmarranti | إنتي تمرنتي | inti tmaranti
you (f) explained | inti shara7ti | إنتي شرحتي | inti shara7ti
you (f) felt | inti 7assaiti | إنتي حسيتي | inti 7asaiti
you (f) finished | inti 5allasti | إنتي خلصتي | inti 5alasti
you (f) forgot | inti nseeti | إنتي نسيتي | inti nsIti
you (f) fought | inti 2atalti | إنتي قاتلتي | inti 2atalti
you (f) found | inti la2aiti | إنتي لقيتي | inti la2aiti
you (f) fried | inti 2laiti | إنتي قليتي | inti 2laiti
you (f) gave | inti 3ataiti | إنتي عطيتي | inti 3ataiti
you (f) had | kaan 3indek | كان عندك | kAn 3indek
you (f) hated | inti krehti | إنتي كرهتي | inti krehti
you (f) held | inti masakti | إنتي مسكتي | inti masakti
you (f) hurried | inti sta3jalti | إنتي استعجلتي | inti sta3jalti
you (f) hurt | inti wajja3ti | إنتي وجعتي | inti waja3ti
you (f) invited | inti 3azamti | إنتي عزمتي | inti 3azamti
you (f) knew | inti 3refti | إنتي عرفتي | inti 3refti
you (f) laughed/smiled | inti d7ekti | إنتي ضحكتي | inti d7ekti
you (f) learned | Inti t3allamti | أنتِ تعلمتي | inti t3alamti
you (f) left/let | inti 5allaiti | إنتي خليتي | inti 5alaiti
you (f) lied | inti kazzabti | إنتي كذبتي | inti kazabti
you (f) liked | inti 7abbaiti | إنتي حبيتي | inti 7abaiti
you (f) listened | inti sme3ti | إنتي سمعتي | inti sme3ti
you (f) made someone bored | inti zahha2ti | إنتي زهقتي | inti zaha2ti
you (f) made someone crazy | inti jannanti | إنتي جننتي | inti jananti
you (f) made someone laugh | inti da77akti | إنتي ضحكتي | inti da7akti
you (f) met up | inti lta2ayti | إنتي التقيتي | inti lta2aiti
you (f) moved | inti 7arrakti | إنتي حركتي | inti 7arakti
you (f) needed | inti 7tajti | إنتي احتجتي | inti 7tajti
you (f) opened | inti fata7ti | إنتي فتحتي | inti fata7ti
you (f) ordered | inti 6alabti | إنتي طلبتي | inti 6alabti
you (f) organized | inti rattabti | إنتي رتبتي | inti ratabti
you (f) paid attention | inti ntabahti | إنتي انتبهتي | inti ntabahti
you (f) paid/pushed | inti dafa3ti | إنتي دفعتي | inti dafa3ti
you (f) planned | inti 5a66atti | إنتي خططتي | inti 5a6ati
you (f) played | inti l3ebti | إنتي لعبتي | inti l3ebti
you (f) practiced | inti tdarrabti | إنتي تدربتي | inti tdarabti
you (f) preferred | inti faddalti | إنتي فضلتي | inti fadalti
you (f) prepared | inti jahhazti | إنتي جهزتي | inti jahazti
you (f) put | inti 7attaiti | إنتي حطيتي | inti 7ataiti
you (f) ran | inti rakadti | إنتي ركضتي | inti rakadti
you (f) rang/called | inti rannaiti | إنتي رنيتي | inti ranaiti
you (f) read | inti qara2ti | إنتي قرأتي | inti 2ara2ti
you (f) relaxed | inti rta7ti | إنتي ارتحتي | inti rta7ti
you (f) remembered | inti tzakkarti | إنتي تذكرتي | inti tzakarti
you (f) said | inti 2ulti | إنتي قلتي | inti 2ulti
you (f) sang | inti 8annaiti | إنتي غنيتي | inti 8anaiti
you (f) sat | inti 2a3adti | إنتي قعدتي | inti 2a3adti
you (f) saw | inti shufti | إنتي شفتي | inti shufti
you (f) scratched | inti 7akkaiti | إنتي حكيتي | inti 7akaiti~scratch
you (f) sent | inti ba3atti | إنتي بعتّي | inti ba3ati
you (f) showed | inti farjaiti | إنتي فرجيتي | inti farjaiti
you (f) slept | inti nemti | إنتي نمتي | inti nemti
you (f) smelled | inti shammaiti | إنتي شميتي | inti shamaiti
you (f) sold | inti be3ti | إنتي بعتي | inti be3ti
you (f) spent (time) | inti 2addaiti | أنتي قضيتي | inti 2adaiti
you (f) started | inti ballashti | إنتي بلشتي | inti balashti
you (f) stayed/kept | inti dallaiti | إنتي ضليتي | inti dalaiti
you (f) stopped | inti wa22afti | إنتي وقفتي | inti wa2afti
you (f) studied | inti darasti | إنتي درستي | inti darasti
you (f) talked | inti 7akaiti | إنتي حكيتي | inti 7akaiti
you (f) taught | inti 3allamti | إنتي علمتي | inti 3alamti
you (f) thought/assumed | inti zannaiti | إنتي ظنيتي | inti zanaiti
you (f) took | inti a5adti | إنتي أخذتي | inti a5adti
you (f) translated | inti tarjamti | إنتي ترجمتي | inti tarjamti
you (f) turned off | inti 6afaiti | إنتي طفيتي | inti 6afaiti
you (f) turned on | inti dawaiti | إنتي ضويتي | inti dawaiti
you (f) understood | inti fhemti | إنتي فهمتي | inti fhemti
you (f) undressed | inti shala7ti | إنتي شلحتي | inti shala7ti
you (f) used | inti sta3malti | إنتي استعملتي | inti sta3malti
you (f) waited | inti stannaiti | إنتي استنيتي | inti stanaiti
you (f) walked | inti mashaiti | إنتي مشيتي | inti mashaiti
you (f) wanted | kaan biddek | كان بدك | kAn bidek
you (f) washed | inti 8assalti | إنتي غسلتي | inti 8asalti
you (f) washed dishes | inti jalaiti | إنتي جليتي | inti jalaiti
you (f) watched | inti 7derti | إنتي حضرتي | inti 7derti
you (f) went | inti ru7ti | إنتي رحتي | inti ru7ti
you (f) went out/up | inti 6le3ti | إنتي طلعتي | inti 6le3ti
you (f) were | inti kunti | إنتي كنتي | inti kunti
you (f) woke up | inti s7eeti | إنتي صحيتي | inti s7Iti
you (f) wore | inti lbesti | إنتي لبستي | inti lbesti
you (f) worked | inti shta8alti | إنتي اشتغلتي | inti shta8alti
you (f) worried | inti 2le2ti | إنتي قلقتي | inti 2le2ti
you (f) wrote | inti katabti | إنتي كتبتي | inti katabti
you (m) answered/responded | inta raddait | إنت رديت | inta radait
you (m) asked | inta sa2alet | إنت سألت | inta sa2alet
you (m) ate | inta akalet | إنت أكلت | inta akalet
you (m) became | inta seret | إنت صرت | inta seret
you (m) became quiet | inta sakatet | إنت سكتت | inta sakatet
you (m) began | inta badait | إنت بديت | inta badait
you (m) bought | inta shtarait | إنت اشتريت | inta shtarait
you (m) brought | inta jebet | إنت جبت | inta jebet
you (m) came | inta ajeet | إنت جيت | inta ajIt
you (m) carried | inta 7amalet | إنت حملت | inta 7amalet
you (m) changed | inta 8ayyaret | إنت غيرت | inta 8aiyaret
you (m) cheated | inta 8ashshait | إنت غشيت | inta 8ashait
you (m) cleaned | inta naddafet | إنت نظفت | inta nadafet
you (m) closed | inta sakkeret | إنت سكرت | inta sakeret
you (m) complained | inta shakait | إنت شكيت | inta shakait
you (m) cooked | inta taba5et | إنت طبخت | inta taba5et
you (m) could / was able to | inta 2deret | إنت قدرت | inta 2deret
you (m) cut | inta 2assait | إنت قصيت | inta 2asait
you (m) did/made | inta 3melet | إنت عملت | inta 3melet
you (m) drank | inta shrebet | إنت شربت | inta shrebet
you (m) drew | inta rasamet | إنت رسمت | inta rasamet
you (m) drove | inta su2et | إنت سقت | inta su2et
you (m) exercised | inta tmarranet | إنت تمرنت | inta tmaranet
you (m) explained | inta shara7et | إنت شرحت | inta shara7et
you (m) felt | inta 7assait | إنت حسيت | inta 7asait
you (m) finished | inta 5allaset | إنت خلصت | inta 5alaset
you (m) forgot | inta nseet | إنت نسيت | inta nsIt
you (m) fought | inta 2atalet | إنت قاتلت | inta 2atalet
you (m) found | inta la2ait | إنت لقيت | inta la2ait
you (m) fried | inta 2lait | إنت قليت | inta 2lait
you (m) gave | inta 3atait | إنت عطيت | inta 3atait
you (m) had | kaan 3indak | كان عندك | kAn 3indak
you (m) hated | inta krehet | إنت كرهت | inta krehet
you (m) held | inta masaket | إنت مسكت | inta masaket
you (m) hurried | inta sta3jalet | إنت استعجلت | inta sta3jalet
you (m) hurt | inta wajja3et | إنت وجعت | inta waja3et
you (m) invited | inta 3azamet | إنت عزمت | inta 3azamet
you (m) knew | inta 3refet | إنت عرفت | inta 3refet
you (m) laughed/smiled | inta d7eket | إنت ضحكت | inta d7eket
you (m) learned | Inta t3allamet | أنت تعلمت | inta t3alamet
you (m) left/let | inta 5allait | إنت خليت | inta 5alait
you (m) lied | inta kazzabet | إنت كذبت | inta kazabet
you (m) liked | inta 7abbait | إنت حبيت | inta 7abait
you (m) listened | inta sme3et | إنت سمعت | inta sme3et
you (m) made someone bored | inta zahha2et | إنت زهقت | inta zaha2et
you (m) made someone crazy | inta jannanet | إنت جننت | inta jananet
you (m) made someone laugh | inta da77aket | إنت ضحكت | inta da7aket
you (m) met up | inta lta2ayt | إنت التقيت | inta lta2ait
you (m) moved | inta 7arraket | إنت حركت | inta 7araket
you (m) needed | inta 7tajet | إنت احتجت | inta 7tajet
you (m) opened | inta fata7et | إنت فتحت | inta fata7et
you (m) ordered | inta 6alabet | إنت طلبت | inta 6alabet
you (m) organized | inta rattabet | إنت رتبت | inta ratabet
you (m) paid attention | inta ntabahet | إنت انتبهت | inta ntabahet
you (m) paid/pushed | inta dafa3et | إنت دفعت | inta dafa3et
you (m) planned | inta 5a66etet | إنت خططت | inta 5a6etet
you (m) played | inta l3ebet | إنت لعبت | inta l3ebet
you (m) practiced | inta tdarrabet | إنت تدربت | inta tdarabet
you (m) preferred | inta faddalet | إنت فضلت | inta fadalet
you (m) prepared | inta jahhazet | إنت جهزت | inta jahazet
you (m) put | inta 7attait | إنت حطيت | inta 7atait
you (m) ran | inta rakadet | إنت ركضت | inta rakadet
you (m) rang/called | inta rannait | إنت رنيت | inta ranait
you (m) read | inta qara2et | إنت قرأت | inta 2ara2et
you (m) relaxed | inta rta7et | إنت ارتحت | inta rta7et
you (m) remembered | inta tzakkaret | إنت تذكرت | inta tzakaret
you (m) said | inta 2ulet | إنت قلت | inta 2ulet
you (m) sang | inta 8annait | إنت غنيت | inta 8anait
you (m) sat | inta 2a3adet | إنت قعدت | inta 2a3adet
you (m) saw | inta shufet | إنت شفت | inta shufet
you (m) scratched | inta 7akkait | إنت حكيت | inta 7akait~scratch
you (m) sent | inta ba3atet | إنت بعتت | inta ba3atet
you (m) showed | inta farjait | إنت فرجيت | inta farjait
you (m) slept | inta nemet | إنت نمت | inta nemet
you (m) smelled | inta shammait | إنت شميت | inta shamait
you (m) sold | inta be3et | إنت بعت | inta be3et
you (m) spent (time) | inta 2addait | أنت قضيت | inta 2adait
you (m) started | inta ballashet | إنت بلشت | inta balashet
you (m) stayed/kept | inta dallait | إنت ضليت | inta dalait
you (m) stopped | inta wa22afet | إنت وقفت | inta wa2afet
you (m) studied | inta daraset | إنت درست | inta daraset
you (m) talked | inta 7akait | إنت حكيت | inta 7akait
you (m) taught | inta 3allamet | إنت علمت | inta 3alamet
you (m) thought/assumed | inta zannait | إنت ظنيت | inta zanait
you (m) took | inta a5adet | إنت أخذت | inta a5adet
you (m) translated | inta tarjamet | إنت ترجمت | inta tarjamet
you (m) turned off | inta 6afait | إنت طفيت | inta 6afait
you (m) turned on | inta dawait | إنت ضويت | inta dawait
you (m) understood | inta fhemet | إنت فهمت | inta fhemet
you (m) undressed | inta shala7et | إنت شلحت | inta shala7et
you (m) used | inta sta3malet | إنت استعملت | inta sta3malet
you (m) waited | inta stannait | إنت استنيت | inta stanait
you (m) walked | inta mashait | إنت مشيت | inta mashait
you (m) wanted | kaan biddak | كان بدك | kAn bidak
you (m) washed | inta 8assalet | إنت غسلت | inta 8asalet
you (m) washed dishes | inta jalait | إنت جليت | inta jalait
you (m) watched | inta 7deret | إنت حضرت | inta 7deret
you (m) went | inta ru7et | إنت رحت | inta ru7et
you (m) went out/up | inta 6le3et | إنت طلعت | inta 6le3et
you (m) were | inta kunet | إنت كنت | inta kunet
you (m) woke up | inta s7eet | إنت صحيت | inta s7It
you (m) wore | inta lbeset | إنت لبست | inta lbeset
you (m) worked | inta shta8alet | إنت اشتغلت | inta shta8alet
you (m) worried | inta 2le2et | إنت قلقت | inta 2le2et
you (m) wrote | inta katabet | إنت كتبت | inta katabet
you (pl) answered/responded | intu raddaitu | إنتو رديتو | intu radaitu
you (pl) asked | intu sa2altu | إنتو سألتو | intu sa2altu
you (pl) ate | intu akaltu | إنتو أكلتو | intu akaltu
you (pl) became | intu sertu | إنتو صرتو | intu sertu
you (pl) became quiet | intu sakattu | إنتو سكتّو | intu sakatu
you (pl) began | intu badaitu | إنتو بديتو | intu badaitu
you (pl) bought | intu shtaraitu | إنتو اشتريتو | intu shtaraitu
you (pl) brought | intu jebtu | إنتو جبتو | intu jebtu
you (pl) came | intu ajeetu | إنتو جيتو | intu ajItu
you (pl) carried | intu 7amaltu | إنتو حملتو | intu 7amaltu
you (pl) changed | intu 8ayyartu | إنتو غيرتو | intu 8aiyartu
you (pl) cheated | intu 8ashshaitu | إنتو غشيتو | intu 8ashaitu
you (pl) cleaned | intu naddaftu | إنتو نظفتو | intu nadaftu
you (pl) closed | intu sakkertu | إنتو سكرتو | intu sakertu
you (pl) complained | intu shakaitu | إنتو شكيتو | intu shakaitu
you (pl) cooked | intu taba5tu | إنتو طبختو | intu taba5tu
you (pl) could / was able to | intu 2dertu | إنتو قدرتو | intu 2dertu
you (pl) cut | intu 2assaitu | إنتو قصيتو | intu 2asaitu
you (pl) did/make | intu 3meltu | إنتو عملتو | intu 3meltu
you (pl) drank | intu shrebtu | إنتو شربتو | intu shrebtu
you (pl) drew | intu rasamtu | إنتو رسمتو | intu rasamtu
you (pl) drove | intu su2tu | إنتو سقتو | intu su2tu
you (pl) exercised | intu tmarrantu | إنتو تمرنتو | intu tmarantu
you (pl) explained | intu shara7tu | إنتو شرحتو | intu shara7tu
you (pl) felt | intu 7assaitu | إنتو حسيتو | intu 7asaitu
you (pl) finished | intu 5allastu | إنتو خلصتو | intu 5alastu
you (pl) forgot | intu nseetu | إنتو نسيتو | intu nsItu
you (pl) fought | intu 2ataltu | إنتو قاتلتو | intu 2ataltu
you (pl) found | intu la2aitu | إنتو لقيتو | intu la2aitu
you (pl) fried | intu 2laitu | إنتو قليتو | intu 2laitu
you (pl) gave | intu 3ataitu | إنتو عطيتو | intu 3ataitu
you (pl) had | kaan 3indkom | كان عندكم | kAn 3indkom
you (pl) hated | intu krehtu | إنتو كرهتو | intu krehtu
you (pl) held | intu masaktu | إنتو مسكتو | intu masaktu
you (pl) hurried | intu sta3jaltu | إنتو استعجلتو | intu sta3jaltu
you (pl) hurt | intu wajja3tu | إنتو وجعتو | intu waja3tu
you (pl) invited | intu 3azamtu | إنتو عزمتو | intu 3azamtu
you (pl) knew | intu 3reftu | إنتو عرفتو | intu 3reftu
you (pl) laughed/smiled | intu d7ektu | إنتو ضحكتو | intu d7ektu
you (pl) learned | Intu t3allamtu | أنتو تعلمتو | intu t3alamtu
you (pl) left/let | intu 5allaitu | إنتو خليتو | intu 5alaitu
you (pl) lied | intu kazzabtu | إنتو كذبتو | intu kazabtu
you (pl) liked | intu 7abbaitu | إنتو حبيتو | intu 7abaitu
you (pl) listened | intu sme3tu | إنتو سمعتو | intu sme3tu
you (pl) made someone bored | intu zahha2tu | إنتو زهقتو | intu zaha2tu
you (pl) made someone crazy | intu jannantu | إنتو جننتو | intu janantu
you (pl) made someone laugh | intu da77aktu | إنتو ضحكتو | intu da7aktu
you (pl) met up | intu lta2aytu | إنتو التقيتو | intu lta2aitu
you (pl) moved | intu 7arraktu | إنتو حركتو | intu 7araktu
you (pl) needed | intu 7tajtu | إنتو احتجتو | intu 7tajtu
you (pl) opened | intu fata7tu | إنتو فتحتو | intu fata7tu
you (pl) ordered | intu 6alabtu | إنتو طلبتو | intu 6alabtu
you (pl) organized | intu rattabtu | إنتو رتبتو | intu ratabtu
you (pl) paid / pushed | intu dafa3tu | إنتو دفعتو | intu dafa3tu
you (pl) paid attention | intu ntabahtu | إنتو انتبهتو | intu ntabahtu
you (pl) planned | intu 5a66attu | إنتو خططتو | intu 5a6atu
you (pl) played | intu l3ebtu | إنتو لعبتو | intu l3ebtu
you (pl) practiced | intu tdarrabtu | إنتو تدربتو | intu tdarabtu
you (pl) preferred | intu faddaltu | إنتو فضلتو | intu fadaltu
you (pl) prepared | intu jahhaztu | إنتو جهزتو | intu jahaztu
you (pl) put | intu 7attaitu | إنتو حطيتو | intu 7ataitu
you (pl) ran | intu rakadtu | إنتو ركضتو | intu rakadtu
you (pl) rang/called | intu rannaitu | إنتو رنيتو | intu ranaitu
you (pl) read | intu qara2tu | إنتو قرأتو | intu 2ara2tu
you (pl) relaxed | intu rta7tu | إنتو ارتحتو | intu rta7tu
you (pl) remembered | intu tzakkartu | إنتو تذكرتو | intu tzakartu
you (pl) said | intu 2ultu | إنتو قلتو | intu 2ultu
you (pl) sang | intu 8annaitu | إنتو غنيتو | intu 8anaitu
you (pl) sat | intu 2a3adtu | إنتو قعدتو | intu 2a3adtu
you (pl) saw | intu shuftu | إنتو شفتو | intu shuftu
you (pl) scratched | intu 7akkaitu | إنتو حكيتو | intu 7akaitu~scratch
you (pl) sent | intu ba3attu | إنتو بعتّو | intu ba3atu
you (pl) showed | intu farjaitu | إنتو فرجيتو | intu farjaitu
you (pl) slept | intu nemtu | إنتو نمتو | intu nemtu
you (pl) smelled | intu shammaitu | إنتو شميتو | intu shamaitu
you (pl) sold | intu be3tu | إنتو بعتو | intu be3tu
you (pl) spent (time) | intu 2addaitu | أنتو قضيتو | intu 2adaitu
you (pl) started | intu ballashtu | إنتو بلشتو | intu balashtu
you (pl) stayed/kept | intu dallaitu | إنتو ضليتو | intu dalaitu
you (pl) stopped | intu wa22aftu | إنتو وقفتو | intu wa2aftu
you (pl) studied | intu darastu | إنتو درستو | intu darastu
you (pl) talked | intu 7akaitu | إنتو حكيتو | intu 7akaitu
you (pl) taught | intu 3allamtu | إنتو علمتو | intu 3alamtu
you (pl) thought/assumed | intu zannaitu | إنتو ظنيتو | intu zanaitu
you (pl) took | intu a5adtu | إنتو أخذتو | intu a5adtu
you (pl) translated | intu tarjamtu | إنتو ترجمتو | intu tarjamtu
you (pl) turned off | intu 6afaitu | إنتو طفيتو | intu 6afaitu
you (pl) turned on | intu dawaitu | إنتو ضويتو | intu dawaitu
